Category,Note,Player,Start.gg Hex ID,Start.gg Num ID,Points,Start Date,End Date,Source
0 - Ranking,OrionRank 2022 #001,MkLeo,3f297e74,222927,350,,2023-07-25,
0 - Ranking,OrionRank 2022 #002,あcola,830dec1e,2691639,350,,2023-07-25,
0 - Ranking,OrionRank 2022 #003,Sparg0,b5230de8,158026,350,,2023-07-25,
0 - Ranking,OrionRank 2022 #004,Light,e2974569,158871,350,,2023-07-25,
0 - Ranking,OrionRank 2022 #005,Shuton,993a6b60,226829,350,,2023-07-25,
0 - Ranking,OrionRank 2022 #006,Tea,ab90c078,695882,300,,2023-07-25,
0 - Ranking,OrionRank 2022 #007,ProtoBanham,849ebfbf,1041641,300,,2023-07-25,
0 - Ranking,OrionRank 2022 #008,Tweek,0d650c15,15768,300,,2023-07-25,
0 - Ranking,OrionRank 2022 #009,Glutonny,7611d833,6122,300,,2023-07-25,
0 - Ranking,OrionRank 2022 #010,Onin,55206a63,1063610,300,,2023-07-25,
0 - Ranking,OrionRank 2022 #011,Riddles,03d3a671,160464,250,,2023-07-25,
0 - Ranking,OrionRank 2022 #012,Kola,86e42aaa,18802,250,,2023-07-25,
0 - Ranking,OrionRank 2022 #013,Dabuz,b0203282,4702,250,,2023-07-25,
0 - Ranking,OrionRank 2022 #014,Sonix,0301d9f0,258371,250,,2023-07-25,
0 - Ranking,OrionRank 2022 #015,Yoshidora,9568f351,1151910,250,,2023-07-25,
0 - Ranking,OrionRank 2022 #016,Maister,9fb774ae,135042,200,,2023-07-25,
0 - Ranking,OrionRank 2022 #017,KEN,8881ab7d,212701,200,,2023-07-25,
0 - Ranking,OrionRank 2022 #018,Zomba,880cbc79,370802,200,,2023-07-25,
0 - Ranking,OrionRank 2022 #019,Kameme,7472527c,197485,200,,2023-07-25,
0 - Ranking,OrionRank 2022 #020,ミーヤー,d8016ec8,1636582,200,,2023-07-25,
0 - Ranking,OrionRank 2022 #021,Sisqui,e97f144e,539193,150,,2023-07-25,
0 - Ranking,OrionRank 2022 #022,へろー,dba21096,1647076,150,,2023-07-25,
0 - Ranking,OrionRank 2022 #023,Bloom4Eva,17afe34e,1198828,150,,2023-07-25,
0 - Ranking,OrionRank 2022 #024,Kurama,d59004ad,175623,150,,2023-07-25,
0 - Ranking,OrionRank 2022 #025,Asimo,ffa84c87,1569435,150,,2023-07-25,
0 - Ranking,OrionRank 2022 #026,Gackt,e8f0cdcd,484575,140,,2023-07-25,
0 - Ranking,OrionRank 2022 #027,Cosmos,f43bf52f,64466,140,,2023-07-25,
0 - Ranking,OrionRank 2022 #028,zackray,181880b7,498962,140,,2023-07-25,
0 - Ranking,OrionRank 2022 #029,Anathema,3351cf4f,71203,140,,2023-07-25,
0 - Ranking,OrionRank 2022 #030,Jakal,8cacea70,231113,140,,2023-07-25,
0 - Ranking,OrionRank 2022 #031,MuteAce,284d5644,44865,130,,2023-07-25,
0 - Ranking,OrionRank 2022 #032,ApolloKage,ca0e602a,1099727,130,,2023-07-25,
0 - Ranking,OrionRank 2022 #033,Big D,67dab81e,21504,130,,2023-07-25,
0 - Ranking,OrionRank 2022 #034,Lui$,00b68019,173403,130,,2023-07-25,
0 - Ranking,OrionRank 2022 #035,Ned,36ba38db,39054,130,,2023-07-25,
0 - Ranking,OrionRank 2022 #036,Jake,1e90eb40,532139,120,,2023-07-25,
0 - Ranking,OrionRank 2022 #037,Fatality,213213f6,15921,120,,2023-07-25,
0 - Ranking,OrionRank 2022 #038,HIKARU,b905cb9a,323524,120,,2023-07-25,
0 - Ranking,OrionRank 2022 #039,Marss,083f2f7a,39206,120,,2023-07-25,
0 - Ranking,OrionRank 2022 #040,Yaura,5e9efb3c,2331494,120,,2023-07-25,
0 - Ranking,OrionRank 2022 #041,Chag,c5e8b49a,70916,110,,2023-07-25,
0 - Ranking,OrionRank 2022 #042,Scend,574b3c34,28679,110,,2023-07-25,
0 - Ranking,OrionRank 2022 #043,Kome,0910174c,320526,110,,2023-07-25,
0 - Ranking,OrionRank 2022 #044,Abadango,85a82016,23241,110,,2023-07-25,
0 - Ranking,OrionRank 2022 #045,Tilde,f32b3276,525344,110,,2023-07-25,
0 - Ranking,OrionRank 2022 #046,Ouch!?,5dba9df5,300502,110,,2023-07-25,
0 - Ranking,OrionRank 2022 #047,Paseriman,28b69bad,544593,110,,2023-07-25,
0 - Ranking,OrionRank 2022 #048,Aaron,3f44b63e,29773,110,,2023-07-25,
0 - Ranking,OrionRank 2022 #049,MASA,c8cc35c8,559890,110,,2023-07-25,
0 - Ranking,OrionRank 2022 #050,Nietono,dfe0668e,31697,110,,2023-07-25,
0 - Ranking,OrionRank 2022 #051,BassMage,1072c31f,229756,100,,2023-07-25,
0 - Ranking,OrionRank 2022 #052,Mr.R,2df8b2c9,14411,100,,2023-07-25,
0 - Ranking,OrionRank 2022 #053,MKBigBoss,60bedceb,546734,100,,2023-07-25,
0 - Ranking,OrionRank 2022 #054,Repo,2f69f3c8,1276498,100,,2023-07-25,
0 - Ranking,OrionRank 2022 #055,Goblin,e2b415de,57020,100,,2023-07-25,
0 - Ranking,OrionRank 2022 #056,Tarik,b78faa57,215623,100,,2023-07-25,
0 - Ranking,OrionRank 2022 #057,Skyjay,f5b6768a,961165,100,,2023-07-25,
0 - Ranking,OrionRank 2022 #058,Shirayuki,deb476b0,1494087,100,,2023-07-25,
0 - Ranking,OrionRank 2022 #059,Sigma,c85ce835,569216,100,,2023-07-25,
0 - Ranking,OrionRank 2022 #060,MVD,7be9196d,21460,100,,2023-07-25,
0 - Ranking,OrionRank 2022 #061,Rizeasu,fd635518,533753,90,,2023-07-25,
